time_ns;time_s;Length
18402318000;18,402318;17,98391841
17557440800;17,5574408;18,2661294
15990705100;15,9907051;17,92356619
16606435100;16,6064351;18,64195156
16424583300;16,4245833;17,33479792
15999319100;15,9993191;17,64370256
16649014900;16,6490149;17,30189083
16312092300;16,3120923;19,47081222
17356827600;17,3568276;17,58335208
14746592600;14,7465926;19,75780304
16527575400;16,5275754;17,46530162
17875533000;17,875533;17,88499408
15692970300;15,6929703;16,81403806
16072242800;16,0722428;nan
17644700600;17,6447006;18,08350147
17460863000;17,460863;17,91219138
17257259400;17,2572594;16,32448509
17225198400;17,2251984;16,28832389
16752799700;16,7527997;17,35715587
15380026800;15,3800268;19,81984219
17020248500;17,0202485;19,17391385
18721576300;18,7215763;16,98813387
17034982700;17,0349827;17,33423149
16964675300;16,9646753;16,69330931
16324897200;16,3248972;17,36488677
16209569400;16,2095694;18,67537336
11810223600;11,8102236;nan
15009442300;15,0094423;20,26166529
15162854700;15,1628547;17,84893847
15630364400;15,6303644;19
17863716000;17,863716;19,94663825
17683864400;17,6838644;17,85361597
16839222600;16,8392226;17,91270587
15721313400;15,7213134;17,01184618
17955504000;17,955504;19,02163967
28098388200;28,0983882;21,7338124
39259403000;39,259403;17,51226315
38515354500;38,5153545;nan
18936180700;18,9361807;18,81368929
31733976200;31,7339762;17,13312918
38806737900;38,8067379;16,5997312
36912041500;36,9120415;18,71127133
30250386400;30,2503864;19,51701778
17795325000;17,795325;16,82464306
18031713500;18,0317135;17,88639721
14804496000;14,804496;16,97471479
15957694400;15,9576944;17,16461147
35819651700;35,8196517;16,69223762
37862699800;37,8626998;18,5
34980482300;34,9804823;17,39182253
34355806200;34,3558062;17,50876801
34682816000;34,682816;17,5
35938546900;35,9385469;16,84154969
35191838700;35,1918387;17,21645406
35657647600;35,6576476;nan
33556243900;33,5562439;19,20305875
36764873500;36,7648735;nan
36320618200;36,3206182;18,19778795
22145680600;22,1456806;19,35697469
39168775200;39,1687752;16,95185652
35315782300;35,3157823;17,18146438
38498904900;38,4989049;15,98692114
27107102100;27,1071021;17,65891202
36450424600;36,4504246;18,98360382
38552556600;38,5525566;17,46767436
36957670600;36,9576706;17,7459318
35633821500;35,6338215;16,79575508
37124212600;37,1242126;17,14503162
34044066800;34,0440668;18,28593085
36423137100;36,4231371;17,26314201
33682133300;33,6821333;17,17069542
37855245700;37,8552457;19,91694996
25546664400;25,5466644;16,35090174
36624114900;36,6241149;17,39469102
34050755600;34,0507556;19,56827948
30600584400;30,6005844;16,42897841
32663044200;32,6630442;18,44284608
37067043500;37,0670435;16,86231552
32802958400;32,8029584;18,31884944
37312935800;37,3129358;19,69855618
37481798700;37,4817987;nan
22580995300;22,5809953;17,79687369
26930042500;26,9300425;nan
19949538300;19,9495383;17,71452933
37006798900;37,0067989;20,32882384
38135581000;38,135581;17,87312803
33510635200;33,5106352;17,11470112
29409428200;29,4094282;17,92439511
25108857500;25,1088575;18,11014285
37436499500;37,4364995;16,655697
38623139600;38,6231396;16,84229843
37914494900;37,9144949;19,39183603
33884995500;33,8849955;nan
23332302700;23,3323027;17,44051589
17242686100;17,2426861;16,50346353
17244017100;17,2440171;18,01162926
17124143600;17,1241436;18,79816484
16091050800;16,0910508;18,36949029
16874224800;16,8742248;nan
17142234100;17,1422341;17,8017653
;;
;25,98770955;
